resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed
2,"{""id"":68777098,""resource_state"":1}",What my phone tracked ...,3473.1,1154,1168,13.3,Run,0,4562537646,6770EC39-7DD1-40B6-9E56-20998E512036-activity.fit,4874436508,2021-01-03T19:00:00Z,2021-01-03T14:00:00Z,(GMT-05:00) America/Toronto,-18000,"[43.029352,-79.285822]","[43.029291,-79.285771]",,,,43.029352,-79.285822,0,2,0,1,0,"{""id"":""a4562537646"",""summary_polyline"":""mdseGlo|bNLGHBNNHXFH@b@@HB@VGFKNABChBY`@@L@VGd@BXADDt@BJGF?HBPAJBVKJAL@TNFLBPI`@?`@BLARC~AB`@Af@@X?fA@b@KNAJF`@ANPXJBLHHCBDH@RANFVAHBPr@Pb@Bb@Gn@JNj@HRGJHH^@p@Z\\D?TGGJ?BFCN@NED@`@EBEH@FA\\HXCRBNC^DR?VFN@NCLDHC\\BZAHGPFNAVDLEz@FHELCTBDAD@BAHCDUBEHAb@AHFHEF@HCRDJHPF\\@JBl@?\\JFFFHBLE\\@VEn@BVCf@AF@FEND^AjA@PPRDXEV@\\ANBn@A`@@REb@@PMl@Eb@B`@E`@DHCN@NERGz@Ad@G^g@CMBQ@UCIDOBKACEK?EEE?QFUGWAKAG?e@GSFIASD]GYF[GC@YEEBq@?GBMASBGAYDk@IM?MFk@AMBKEMCk@DMCC@SG_@@OKCIBE?_@A}@Cc@@KGQIGCUKQAW?QDa@Ay@FWEG?e@Hg@@UH]@UEa@GS?s@Ai@CQBM?u@I_@@aADO?YGSCg@Fs@Oi@[SMCIGUEMQGi@BeACOe@WYAOEy@@IMG}@DU?}@Gi@DMAWDKE_ABOCkA@MAo@BUE[o@i@WGMDUEQDYEYBQEEBg@CCDECMB_@EEBK?GFOA_@Ha@PM?KBKHGAGDKAIDKCWUKcACKC?"",""resource_state"":2}",,,,,everyone,,g7365881,,4874436508,3.01,4.2,,,,194.9,185.8,0,0,
2,"{""id"":68777098,""resource_state"":1}",Walk / Run with the brother in law,3252.7,1547,1547,7,Walk,,4557748488,C4F9B3F2-7C01-4F61-8FDD-96697F7B1D0B-activity.fit,4869391722,2021-01-03T02:44:29Z,2021-01-02T21:44:29Z,(GMT-05:00) America/Toronto,-18000,"[42.973696,-79.255162]","[42.973769,-79.255179]",,,,42.973696,-79.255162,0,2,0,2,0,"{""id"":""a4557748488"",""summary_polyline"":""qhheGxovbNLIJ@JCD@t@CDEJEX@PCPBHEn@ARIr@KF@VIDCF?NGHBHCF@fAKHGb@@b@ON?FCN?HAJ@NIZCFGZBRGD?lAQFEL?DAJ@jBa@P?VMJ?VEFGN@LEd@En@QP?RIVIX?NGVC`@K\\CVKPAr@Sh@GVMHAFBTMn@GNKVEF@VIP?t@QT?z@WR@TKJMD?LK\\KZEN@LE^CFC\\EXI|@MHEl@GLGF?HJBJ@JGz@B`ACfBFjBCh@KVYTc@l@UPCHKFILIBOFYBMAKBUBMB[?YJM?GD_@@OEEGOBk@?KF[CMPM@OFOAGHW@OHk@BOH_@BUJi@@GHUBIFMCKFMAKHq@JIA[LGCOBGD]@qANMDO@YJK?c@LCCKBSHEAu@JeB\\Q@SCIBc@?IB]BMAEBGASBMCMBOAo@BKCMDa@BKBSAUDSAGBM?C@[DCAS@IBa@BKDG?m@JK?YFo@DAAGWQBD@\\IEGG?CDGBOAMBGDEAABU?c@DEDKCi@NE?SNOd@KPMf@Cn@E?_@d@IDSFK?OCKMAMU]AMB_@?i@Aa@?SAU@YCk@BGE]DSDECSDQCs@Du@AOHWHIXANGHA`@OJIJALLPAD@"",""resource_state"":2}",,,,,everyone,,g7365881,,4869391722,2.103,6.9,,,,177.6,173.3,0,3,
2,"{""id"":68777098,""resource_state"":1}",5K but watch hecked it up,3884,1317,1320,14.9,Run,0,4546883495,,4857907868,2021-01-01T01:23:30Z,2020-12-31T20:23:30Z,(GMT-05:00) America/Toronto,-18000,"[43.173823,-79.470282]","[43.180415,-79.479068]",,,,43.173823,-79.470282,5,4,0,2,0,"{""id"":""a4546883495"",""summary_polyline"":""kkofGhp`dNPANDDDl@It@Dl@CTGVDp@CJBVKb@AV@JBHEd@FHEJAJEb@Dd@AJEn@KVATBNEV@HAJBJAd@N\\@`@J^@\\Ft@Dj@E^DJAN@RGJCRB\\Eb@AHKDIHEJ@d@PL@THJNNHZD|@^|@n@NFnBfBFHHTXXRJFH^NLRPPl@\\|@r@JBPCH?BBFNAJU|@In@_@~@IJKTM\\CX[`ACZYp@WdBi@tBKl@]`AUhAKZKt@]bAG~@k@lCIx@Od@Kl@Un@O|ACp@Sz@GJ_@bCMZOj@e@x@KD[Eg@SiAOUMIEM?k@QqAEODCJAVEZMVEFSFEJ?XALI\\KDWBoABWDM?WGc@Bc@EWB_@NUD[@KEGM@iAEcACKe@c@s@_@QSa@IKGUCa@@e@Ew@HU?c@Fm@A_@JKEIQIg@Ug@Ks@a@q@KYAw@Ka@Ye@]c@g@wAEIKEs@FYLQPg@ZUPK@]V_@Je@TK@c@Co@BKBKHID[AQDM@Ud@IXS^Qd@GJUROVi@v@SPm@Je@Pg@@q@KaADUCw@JUAi@Ny@IIAGGI{@Ao@ByAGiAE_@Ci@D}@"",""resource_state"":2}",,,,,everyone,,g7365881,,4857907868,2.949,5,,,,108.7,89.3,1,0,
2,"{""id"":68777098,""resource_state"":1}",Evening Run,6891.1,2371,2406,33.6,Run,0,4542033720,45220325-F603-4A15-AE28-DFD127B635F4-activity.fit,4852732966,2020-12-31T00:41:06Z,2020-12-30T19:41:06Z,(GMT-05:00) America/Toronto,-18000,"[43.202951,-79.265519]","[43.20299,-79.265548]",,,,43.202951,-79.265519,0,2,0,3,0,"{""id"":""a4542033720"",""summary_polyline"":""maufGnpxbNf@e@NUL?\\J^RVRHRZDRRD@PI^Ar@DDAN@PARBFBHCVDDAh@BBDd@XVFf@l@LFvABXGJ@TE|Aq@TST_@Ts@RkAXmELo@r@kAp@}AxA}B\\{@b@q@nAaCn@eA\\]n@eALYHGj@H@Dd@LBB^N`@F\\NlAXJJTJn@Jn@VZPj@Pt@X^Jp@Vx@PpAh@ZFTFBD\\F\\NXTR@PJPDx@\\j@ZVHRLBFWp@WhAQp@OnAY|@Kl@Ul@EBm@jAe@nAs@~AOf@URSB]Ng@h@]RIDGAE@q@t@a@VKBQ?[LQGa@By@I_@@E@CGLG`AEn@U^CLFHNXNHFD@?CB@b@c@F?BP?f@A^WvAUf@ODWLMRULG@CCwA_BUOMDYT[R[D[@c@Fw@?OE_AGK?q@Io@?YEuFWKBKXGFYD[My@U]?q@MgAKw@QSOIQMMC?IJE@UMy@gBi@_AOe@II}A]oAQ]?YCoAAUGk@`A?JZb@N\\Zj@N`@f@j@V`@Xr@`@r@`@`A~@tAJZRhA?LEN_@b@]n@Pf@|EjIL\\JNHRTZJVPVTp@n@r@Xr@X\\HD\\x@DPx@hAr@pAFFRd@T`@V\\l@pAPTDNh@|@\\t@V\\|@dBd@n@d@bAFPRV~@bBd@n@Tb@?HMp@OZORGBABE@EPGLeAhAK?W[MSGU[e@w@sAc@aAeAgBUg@Y]Ui@aAyAy@}AUYc@y@[a@M[e@u@g@mA[_@KY_@g@c@aAQg@QO}@oAQa@c@m@a@u@Si@[k@e@s@a@s@MIKASWIUeAmBm@qAOOSe@QUa@q@Y_@Q_@i@w@o@sAo@gAG[Ug@c@s@AOB[\\q@xA{Ah@kAPMNW`@c@~@qA?OIYm@]UKGKQMKASKIAy@~@IC"",""resource_state"":2}",,,,,everyone,,g7365881,1,4852732966,2.906,4.1,,,,90.7,76.5,0,0,
2,"{""id"":68777098,""resource_state"":1}",First run over 5K,7000.5,2373,2525,8.7,Run,0,4531695519,64C9DE28-3995-4F61-9C70-60CC8AEC04DA-activity.fit,4841786204,2020-12-28T22:14:59Z,2020-12-28T17:14:59Z,(GMT-05:00) America/Toronto,-18000,"[43.029253,-79.285789]","[43.029356,-79.284337]",,,,43.029253,-79.285789,4,3,4,1,0,"{""id"":""a4531695519"",""summary_polyline"":""ycseGdo|bNPEDIMuACGMMEUFo@@c@EQHm@B_@CE@GC[D_ACEAg@DOK]F]AGCE?GH[ASBKAOBECmABOAQGO@WBKEO?WFYKq@?[B_@COF]B]NUL@PGXDVC\\LDC^FREb@NTE`@JJCDERDJGd@@LITJ|ASDBHCPDn@I\\DREVLFEF@BE\\Fv@Ib@HVEBDHG\\Bl@I`@D\\En@B`@ITDTCBCZ?HFR@b@MTBh@AZNRKf@DPKZHTQJAJH\\A\\Fp@KNBNC`B@NFVEJBTEf@B\\Id@Dz@MZBl@G^DLEf@F`A@R?b@QLHN@r@Ib@Dr@K`@@d@Gf@BNE\\D^CPBNE\\BHDh@Ad@DJGX?\\NXIx@AlB[Z@TINCDERGd@C^QR@h@]v@KZKRMF@`@Wb@MTUR?\\WTG\\YRIJOF?X]j@a@LUNGj@m@JANSp@i@FKLCJKBGHAJQFARSZQBITKDITSRKv@y@PIHKLI^a@ZWHKD?@Gn@g@h@[Te@V[XSDKJCR_@VQHOJERQD?ZWHCJMLGJSTKh@g@|@c@X_@NWRMT]NKNW\\Sj@g@TKT]p@i@x@}BRPWf@b@_@PI`@_@TM[RO@WJWTG@KPI@OVKBKR_@TGJK@KN[NEHSLWVOFYVMTOFORKBUVy@f@U^a@XSVMDa@f@[PWd@a@XIB_@^WPORQFs@p@OJG@g@h@_@LEHI@GNSVGVSHMLGAU\\MFk@r@MHAFUDQPKTKJ?^CDw@RURg@PGH]TEHc@VKNGDGNG@SVOHi@b@QVSDAFSHEACJUNUHY\\G?e@PU??HIJK@e@d@KAUT]DMEu@NQAm@TSB_@PUAw@NKFO?e@He@ASFw@@WE_@H}@@YEOBQEG@c@Cu@@ABg@AMG_@DEBUBGCMF[E}@JMCKBMEg@?UF[@IEODWEMD[Go@Do@?MBk@GSBEEa@BEAM?UJWAWDk@Ka@HMGYH[CQDKGMFSCIDi@OKDQEw@HYGsAD_@CKEk@?WBQC]BGEW?YBm@Ac@F_ACIDYA[Bs@CaANo@Fs@DIHCRa@L]MS@OEEDSCIBMGe@@]LOEUFk@?}@HMIg@Ja@GSHW@UAKGg@FSEIBWESLK^CPFTOf@BVEVCp@BD?J@FCN@NCVBP?RFTGTCr@CF@Z?z@@NFJJz@C|AD`@AP"",""resource_state"":2}",,,,,everyone,,g7365881,,4841786204,2.95,10.4,,,,194.7,184.1,0,5,
2,"{""id"":68777098,""resource_state"":1}",Back at it,5092.2,1610,1762,11.5,Run,0,4509943464,F2E5A66E-7659-4D80-B7FD-33111373032A-activity.fit,4818725290,2020-12-23T21:35:28Z,2020-12-23T16:35:28Z,(GMT-05:00) America/Toronto,-18000,"[43.029216,-79.285786]","[43.028919,-79.287064]",,,,43.029216,-79.285786,6,5,4,1,0,"{""id"":""a4509943464"",""summary_polyline"":""qcseGdo|bNB?@K@gASi@G{@DU?a@CMBe@@q@Ck@?sDBg@F[Cc@Bu@A}@Iq@F]AYBKAQEQ?c@CGDi@NODALDh@ELDPCXBd@ED@LATHLCX?PDZ?HBJCD@`@AN@FCb@BVCVDD?HGT?l@E\\BJEPAJDf@?PBTCFEJDL@\\CHBLABEHEZHT?VETDJEF@RMRFVBFEH@LAJBN@LGTBLEVDNILE^CRO^EHQDAJ?FDL@N@FEXBFAVBLGTADCL@PE?@D?LCR@HEv@JDCRBHAT@JDR?PEVBNDRCHBLELBLGXHFALOV@LFLGHBPGZBPERANBLAHELNDAZBBEFAJ?PFb@KTF^ALBZONDZCRLLEBBJARBn@GTGL?FAH@d@GPBFCp@EJBPCBCz@D^CRDPCf@BFENAb@FXEZBd@E`@KHFVGTAHEJ@DCNANIXEXKf@KJADEN?RMREBCRAMBSLSFYCUHS@OFIAMHUBMDU@KHS?EDYFg@?MBg@BOAQDICEDG?KCI?ODCGG@IA_@FECABCAWFKCI@UKKF]AG@KCQFGAKB_@CCBEAI@EAIBMCg@FIEg@H_@ASEIDQA_@FECWAYHKEc@BMEOB]C{@@KCKBKAO@]AOEc@Fc@ESBECEDKAIDq@C[HMAK@GCSF]E[@SCc@Bc@H[G]@KAIBKGKDGV@LCHC`@GX@VJT?j@BDCPBLCP@jA@`@DFCrABL@XETBHEj@Dz@ADBp@A^EXD\\C~@BLCPD`@?d@EpADv@B??@CbADRA\\BXAJBx@QfACf@IV?NCFAZIb@ITOp@QXUn@_@`@MZU\\AJEDOZGFK`@XNGBAHI?CFQL]f@O?[WOEQ?CEU@EBIAIDg@EI@KCC@KCEDUE_@DCB[IYDMHOEQJe@CK@[AEAW[MIKDMEQCEFGFGJIB[TE?EDO?SGEEKGOAMI[E]SMa@Ca@EI?IDSVWJWFi@Co@Yo@IKGCKD}@Ca@BYGIDW\\Eb@BTENQRWHM@MYKs@Mc@Cc@Qy@G}@K_@?OEO"",""resource_state"":2}",,,,,everyone,,g7365881,,4818725290,3.163,5.3,,,,197.3,187.9,4,2,
2,"{""id"":68777098,""resource_state"":1}",Dad Strides 1 Mile TT,1609.4,431,431,0,Run,0,4498646582,,,2020-12-21T02:02:31Z,2020-12-20T21:02:31Z,(GMT-05:00) America/Toronto,-18000,,,,,,,,0,12,0,1,0,"{""id"":""a4498646582"",""summary_polyline"":null,""resource_state"":2}",,,1,,everyone,,g7365881,,,3.734,0,,,,,,0,1,
2,"{""id"":68777098,""resource_state"":1}",Just getting moving again,1918.7,640,682,29.5,Run,0,4483794184,453B402F-EEFF-48FA-98C2-4BF3EB3C2E62-activity.fit,4791111868,2020-12-17T16:28:07Z,2020-12-17T11:28:07Z,(GMT-05:00) America/Toronto,-18000,"[43.029247,-79.285753]","[43.029221,-79.285767]",,,,43.029247,-79.285753,1,4,0,1,0,"{""id"":""a4483794184"",""summary_polyline"":""wcseG~n|bNHBDJJ^DbAEFID[FAEc@J]KGE]GGGQEG?KGQCMBUAE@ECKFGJKDGCMDML]JYPE?INEZDZAH@`@FRG\\DRAH?RDVGXLd@NvBJb@HHDv@Ab@EPEAMBOAe@LYAa@IEBQKWE[Kq@Ma@SEGG@GFUAGHUfAKZ@RGt@GDi@AECKAg@H@AACMAGBMAYBSAWBCE_@BIAgAAGCGGAe@AKB_@CYA{BB]AQ@YCQ?a@@QAuADGZFF?LDT@REVFR?FBd@YFKJ_@HQ@QPM@INOBIBQXc@AGFg@@W@AH_@NMVBNA`@Dh@ITB`@ANDHEVHBC\\L\\PTPVNLRHDn@IJGHBFKVGFGXGFE^CNBRCj@DXLH@FFL?HDRIh@s@@QEGG[GKEAEMVI"",""resource_state"":2}",,,,,everyone,,g7365881,,4791111868,2.998,4,,,,224.6,194.6,0,6,
